Measurement Name :,20181109_Clown2,,Generated On :,"09/11/2018, 14:12:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01
PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON
FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY
",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"09/11/2018, 14:00:19",,,,,,Batch No.:  ,PSt5-1624-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"09/11/2018, 14:11:53",,,,,,O2_cal0 [¡],56.49,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],50.39,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],10,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
09.11.18 14:00:21,0.03,124.86,97.36,132.94,84.18,156.12,102.51,144.42,135.11,144.7,72.49,146.08,123.25,84.93,149.41,127.27,175.23,68.56,152.2,124.86,177.26,95.57,160.63,140.02,178.71,,29,965,34,28.04,
09.11.18 14:00:36,0.28,125.93,97.62,133.75,85.18,159.22,101.74,147.46,135.11,146.63,74.47,148.3,123.25,85.43,152.48,129.15,178.13,69.05,154.99,125.66,179.88,96.6,164.04,140.02,181.63,,29,965,34,27.82,
09.11.18 14:00:51,0.53,126.73,97.62,133.75,85.18,161.48,100.7,147.74,135.65,148.02,75.46,149.13,122.99,84.68,153.87,130.23,180.17,69.05,155.28,125.66,181.92,96.85,165.46,139.75,183.09,,29,965,34,27.65,
